SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10157,ERCOT,CPT,,680,10157,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,157,Y
10158,ERCOT,CPT,,681,10158,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,158,Y
10159,ERCOT,CPT,,682,10159,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,159,Y
10160,ERCOT,CPT,,683,10160,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,160,Y
10161,ERCOT,CPT,,690,10161,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,161,Y
10162,ERCOT,CPT,,691,10162,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,162,Y
10163,ERCOT,CPT,,692,10163,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,163,Y
10164,ERCOT,CPT,,693,10164,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,164,Y
10165,ERCOT,ONCOR,,53,10165,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,165,Y
10166,ERCOT,ONCOR,,54,10166,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,166,Y
10167,ERCOT,ONCOR,,55,10167,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,167,Y
10168,ERCOT,ONCOR,,56,10168,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,168,Y
10169,ERCOT,ONCOR,,57,10169,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,169,Y
10170,ERCOT,ONCOR,,58,10170,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,170,Y
10171,ERCOT,ONCOR,,59,10171,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,171,Y
10172,ERCOT,ONCOR,,60,10172,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,172,Y
10173,ERCOT,ONCOR,,62,10173,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,173,Y
10174,ERCOT,ONCOR,,63,10174,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,174,Y
10175,ERCOT,ONCOR,,64,10175,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,175,Y
10176,ERCOT,ONCOR,,65,10176,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,176,Y
10177,ERCOT,ONCOR,,66,10177,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,177,Y
