,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
131,50703,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5804,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
132,50704,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5805,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
133,50705,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5806,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
134,50706,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5807,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
135,50707,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5808,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
136,50708,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5809,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
137,50709,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5810,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
138,50710,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5811,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
139,50711,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5812,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
140,50712,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5813,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
141,50713,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5814,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
142,50714,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5815,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
143,50715,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5816,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
