Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AEP_OH_CS,AEP_OH_CS_RC_818,"Open Access Delivery-Water Heater, 120 Gallons Minimum Capacity",Power,Secondary,Water Htg,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_820,Open Access Delivery-Regular Residential,Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_822,Open Access Delivery-Low Usage Residential,Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_823,"Open Access Delivery-Residential Service, Water Heater-Minimum 80 Gallons-Load Mgt.",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_824,"Open Access Delivery-Residential Service, Water Heater-Minimum 100 Gallons-Load Mgt.",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_825,"Open Access Delivery-Residential Service, Water Heater-Minimum 120Gallons-Load Mgt.",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_828,"Open Access Delivery-Small Use Load Management, Water Heater 80 Gal.",Power,Secondary,Water Htg,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_830,Open Access Delivery-General Service Small,Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_831,"Open Access Delivery-General Service Small, Schedule GS-1, Optional Unmetered",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_832,"Open Access Delivery-General Service Small, Schedule GS-1, Optional Unmetered-Phone",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_833,"Open Access Delivery-General Service Small, Schedule GS-1, Optional Unmetered Cable",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_834,"Open Access Delivery-General Service Small, Schedule GS-1, Optional Unmetered-Traffic Light",Power,Secondary,Ltg-Traffic,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_835,"Open Access Delivery-General Service Small, Schedule GS-1, FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_836,"Open Access Delivery-General Service Small, Schedule GS-1, Optional Unmetered FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_837,Open Access Delivery-General Service-Small-School,Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
